Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,eFG%,FT,FTA,PTS,FG
1,Alex Abrines\abrinal01,SG,25,OKC,29,573,6.5,0.51,0.81,0.085,0.9,7.7,4.2,4.4,1.4,0.9,8.1,12.3,0.1,0.6,0.7,0.061,-2.3,-0.6,-2.9,-0.1,0.49,12,13,162,55
2,Quincy Acy\acyqu01,PF,28,PHO,6,50,-1.9,0.193,1,0.667,4.4,9.2,6.8,2.4,1,1.7,11.4,7.6,-0.1,0,-0.1,-0.082,-6.6,-1,-7.5,-0.1,0,3,4,3,0
3,Jaylen Adams\adamsja01,PG,22,ATL,9,43,7.9,0.4,0.6,0,0,7.6,3.7,18.1,3.2,2,9.1,10.4,0,0,0,0.038,-4.1,-0.2,-4.3,0,0.4,0,0,8,3
4,Steven Adams\adamsst01,C,25,OKC,44,1507,20.2,0.612,0.002,0.437,13.9,16.7,15.3,7.1,2.1,1.9,11.1,16.8,3.6,2.5,6.1,0.195,1.3,2.1,3.4,2,0.609,113,203,679,283
5,Bam Adebayo\adebaba01,C,21,MIA,44,967,17.2,0.602,0.034,0.496,10,22,16,14.3,1.6,3.4,17,15.3,1.7,1.6,3.3,0.162,-0.6,3.3,2.7,1.1,0.553,85,117,346,130
6,Deng Adel\adelde01,F,21,CLE,1,5,37.1,1.5,1,0,21.6,23.3,22.4,0,0,0,0,8.9,0,0,0,0.342,13.7,-9.9,3.8,0,1.5,0,0,3,1
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.5,0.322,0.4,0.2,4.9,14.9,9.9,37.1,4.5,0,15.5,25.1,-0.1,0,0,-0.05,-4.1,0.5,-3.5,0,0.3,1,2,7,3
8,LaMarcus Aldridge\aldrila01,C,33,SAS,47,1530,21.9,0.565,0.02,0.321,9.7,19,14.4,12.3,0.8,3.1,9.4,27.3,3.1,1.6,4.7,0.148,0.8,0.2,1,1.2,0.509,203,241,967,381
9,Rawle Alkins\alkinra01,SG,21,CHI,2,4,61.2,0.375,0.25,0,80.8,0,40.8,92.5,12.2,0,0,44.3,0,0,0,0.534,43.8,22.2,66,0.1,0.375,0,0,3,1
10,Grayson Allen\allengr01,SG,23,UTA,21,237,4.5,0.47,0.633,0.333,0.5,2.7,1.6,9.1,0.4,0.7,11.9,21.4,-0.3,0.2,-0.1,-0.019,-4.2,-3.6,-7.8,-0.4,0.411,23,30,97,29
11,Jarrett Allen\allenja01,C,20,BRK,45,1213,20.1,0.627,0.08,0.481,10.6,24.5,17.5,8.1,1,4.7,12.2,17,2.9,1.6,4.5,0.178,0.1,2.7,2.8,1.5,0.582,124,168,530,201
12,Al-Farouq Aminu\aminual01,PF,28,POR,47,1414,13.1,0.568,0.51,0.29,5.7,22.5,14.3,4.9,1.6,1,8.9,13.2,1.8,1.8,3.6,0.122,0.1,1,1.1,1.1,0.52,86,103,455,152
13,Justin Anderson\anderju01,SG,25,ATL,24,204,9.1,0.476,0.449,0.217,5.1,14.3,9.6,7.6,2,2.9,13.7,17.4,-0.1,0.2,0,0.01,-4.2,-0.2,-4.4,-0.1,0.442,11,15,72,27
14,Kyle Anderson\anderky01,SF,25,MEM,41,1217,13.3,0.569,0.132,0.229,4,18.9,11.3,15.5,2.2,2.8,15.2,12.6,0.9,1.8,2.7,0.106,-1.9,3.5,1.7,1.1,0.56,34,59,323,140
15,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.7,0.423,0.567,0.233,5.6,12.9,9.1,8.1,0.5,0.3,15.4,12.2,-0.2,0,-0.2,-0.034,-4.2,-1.9,-6.1,-0.3,0.375,11,14,56,19
16,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6,0,0,0,19.1,36.2,27.9,19.1,0,14.9,25,29.1,-0.1,0,-0.1,-0.47,-22.4,8.6,-13.8,0,0,0,0,0,0
17,Giannis Antetokounmpo\antetgi01,PF,24,MIL,42,1386,29.3,0.631,0.137,0.541,7.8,30.2,19.7,29.8,2,3.8,16,31.8,4.4,3.3,7.7,0.267,4.6,5.3,9.9,4.2,0.593,268,383,1107,411
18,Carmelo Anthony\anthoca01,PF,34,HOU,10,294,11.2,0.513,0.529,0.182,3.4,17.9,10.4,2.7,0.7,2,5.8,20.7,0.1,0.2,0.2,0.039,-2.9,-3.4,-6.2,-0.3,0.492,15,22,134,49
19,OG Anunoby\anunoog01,SF,21,TOR,39,815,9.9,0.524,0.504,0.14,4.2,11.3,7.8,4.7,1.5,1,8.8,16.3,0.2,0.9,1,0.06,-1.1,-0.5,-1.6,0.1,0.528,15,37,294,117
20,Ryan Arcidiacono\arcidry01,PG,24,CHI,45,1172,10.9,0.604,0.671,0.208,1.1,9.1,5.1,18.9,1.9,0.1,13.9,10.4,1.5,0.6,2.1,0.085,-0.2,-0.8,-1,0.3,0.567,40,45,285,94
21,Trevor Ariza\arizatr01,SF,33,TOT,41,1458,10.7,0.506,0.602,0.188,2.2,16,8.9,14.6,2.1,0.6,13.3,15.9,0,0.9,0.9,0.029,-1,0.1,-0.9,0.4,0.471,66,81,473,160
21,Trevor Ariza\arizatr01,SF,33,PHO,26,884,10.7,0.525,0.612,0.189,2,16.8,9.3,13.5,2.1,0.8,13.7,14,0.2,0.5,0.7,0.04,-1,0.5,-0.5,0.3,0.489,36,43,258,86
21,Trevor Ariza\arizatr01,SF,33,WAS,15,574,10.7,0.485,0.59,0.185,2.4,14.6,8.4,16.3,2.2,0.3,13,18.9,-0.2,0.4,0.2,0.013,-1,-0.5,-1.5,0.1,0.451,30,38,215,74
22,D.J. Augustin\augusdj01,PG,31,ORL,45,1259,15.3,0.629,0.486,0.336,1.9,6.5,4.1,25.3,0.9,0,14,16.9,2.8,0.6,3.4,0.129,1.8,-2.8,-1.1,0.3,0.574,107,121,520,169
23,Deandre Ayton\aytonde01,C,20,PHO,47,1448,21.5,0.619,0.004,0.22,11.4,27.6,19.3,11.1,1.2,2.7,11.8,21.1,3.2,1.3,4.5,0.148,0.8,0.7,1.5,1.3,0.594,96,125,770,337
24,Dwayne Bacon\bacondw01,SG,23,CHO,22,242,12.1,0.629,0.278,0.152,0.9,14.8,7.8,9.8,0.6,0,12.5,17.1,0.3,0.1,0.4,0.081,-1.5,-2.5,-4,-0.1,0.608,10,12,106,42
25,Marvin Bagley\baglema01,PF,19,SAC,32,739,17.5,0.58,0.117,0.434,10,18.5,14.2,5.5,1,3.5,13.3,22.4,0.8,0.7,1.5,0.1,-1.4,-0.4,-1.8,0,0.55,82,126,401,154
26,Ron Baker\bakerro01,SG,25,TOT,15,152,2.6,0.309,0.65,0.3,0.7,7.3,3.9,12.6,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.037,-5.6,-0.8,-6.4,-0.2,0.225,5,6,14,4
26,Ron Baker\bakerro01,SG,25,NYK,11,107,4.5,0.376,0.563,0.375,0.9,6.1,3.4,15.7,2.2,0,13.9,8.5,0,0,0,-0.001,-4.2,-1.4,-5.7,-0.1,0.281,5,6,14,4
26,Ron Baker\bakerro01,SG,25,WAS,4,45,-1.9,0,1,0,0,9.9,4.9,5.2,1.1,1.9,33.3,5.7,-0.1,0,-0.1,-0.121,-9,0.8,-8.1,-0.1,0,0,0,0,0
