Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1,Alex Abrines\abrinal01,SG,25,OKC,29,573,6.5,.510,.810,.085,0.9,7.7,4.2,4.4,1.4,0.9,8.1,12.3,,0.1,0.6,0.7,.061,,-2.3,-0.6,-2.9,-0.1
2,Quincy Acy\acyqu01,PF,28,PHO,6,50,-1.9,.193,1.000,.667,4.4,9.2,6.8,2.4,1.0,1.7,11.4,7.6,,-0.1,0.0,-0.1,-0.082,,-6.6,-1.0,-7.5,-0.1
3,Jaylen Adams\adamsja01,PG,22,ATL,9,43,7.9,.400,.600,.000,0.0,7.6,3.7,18.1,3.2,2.0,9.1,10.4,,0.0,0.0,0.0,.038,,-4.1,-0.2,-4.3,0.0
4,Steven Adams\adamsst01,C,25,OKC,44,1507,20.2,.612,.002,.437,13.9,16.7,15.3,7.1,2.1,1.9,11.1,16.8,,3.6,2.5,6.1,.195,,1.3,2.1,3.4,2.0
5,Bam Adebayo\adebaba01,C,21,MIA,44,967,17.2,.602,.034,.496,10.0,22.0,16.0,14.3,1.6,3.4,17.0,15.3,,1.7,1.6,3.3,.162,,-0.6,3.3,2.7,1.1
6,Deng Adel\adelde01,F,21,CLE,1,5,37.1,1.500,1.000,.000,21.6,23.3,22.4,0.0,0.0,0.0,0.0,8.9,,0.0,0.0,0.0,.342,,13.7,-9.9,3.8,0.0
7,DeVaughn Akoon-Purcell\akoonde01,SG,25,DEN,7,22,8.5,.322,.400,.200,4.9,14.9,9.9,37.1,4.5,0.0,15.5,25.1,,-0.1,0.0,0.0,-0.050,,-4.1,0.5,-3.5,0.0
8,LaMarcus Aldridge\aldrila01,C,33,SAS,47,1530,21.9,.565,.020,.321,9.7,19.0,14.4,12.3,0.8,3.1,9.4,27.3,,3.1,1.6,4.7,.148,,0.8,0.2,1.0,1.2
9,Rawle Alkins\alkinra01,SG,21,CHI,2,4,61.2,.375,.250,.000,80.8,0.0,40.8,92.5,12.2,0.0,0.0,44.3,,0.0,0.0,0.0,.534,,43.8,22.2,66.0,0.1
10,Grayson Allen\allengr01,SG,23,UTA,21,237,4.5,.470,.633,.333,0.5,2.7,1.6,9.1,0.4,0.7,11.9,21.4,,-0.3,0.2,-0.1,-0.019,,-4.2,-3.6,-7.8,-0.4
11,Jarrett Allen\allenja01,C,20,BRK,45,1213,20.1,.627,.080,.481,10.6,24.5,17.5,8.1,1.0,4.7,12.2,17.0,,2.9,1.6,4.5,.178,,0.1,2.7,2.8,1.5
12,Al-Farouq Aminu\aminual01,PF,28,POR,47,1414,13.1,.568,.510,.290,5.7,22.5,14.3,4.9,1.6,1.0,8.9,13.2,,1.8,1.8,3.6,.122,,0.1,1.0,1.1,1.1
13,Justin Anderson\anderju01,SG,25,ATL,24,204,9.1,.476,.449,.217,5.1,14.3,9.6,7.6,2.0,2.9,13.7,17.4,,-0.1,0.2,0.0,.010,,-4.2,-0.2,-4.4,-0.1
14,Kyle Anderson\anderky01,SF,25,MEM,41,1217,13.3,.569,.132,.229,4.0,18.9,11.3,15.5,2.2,2.8,15.2,12.6,,0.9,1.8,2.7,.106,,-1.9,3.5,1.7,1.1
15,Ryan Anderson\anderry01,PF,30,PHO,15,278,4.7,.423,.567,.233,5.6,12.9,9.1,8.1,0.5,0.3,15.4,12.2,,-0.2,0.0,-0.2,-0.034,,-4.2,-1.9,-6.1,-0.3
16,Ike Anigbogu\anigbik01,C,20,IND,3,6,-6.0,.000,.000,.000,19.1,36.2,27.9,19.1,0.0,14.9,25.0,29.1,,-0.1,0.0,-0.1,-0.470,,-22.4,8.6,-13.8,0.0
